,RTN,date_sampled_well,sample_id_x,lab_x,Matrix_x,lat_x,lon_x,NEtFOSAA_well,PFBS_well,PFDA_well,PFDoA_well,PFHpA_well,PFHxA_well,PFHxS_well,PFNA_well,PFOA_well,PFOS_well,PFTA_well,PFTrDA_well,PFUnA_well,elevation_well,MUSYM_well,BROCKDEPMI_well,WTDEPANNMI_well,FLODFREQDC_well,FLODFREQMA_well,PONDFREQPR_well,DRCLASSDCD_well,DRCLASSWET_well,HYDGRPDCD_well,SLOPE_well,SLOPEGRADD_well,SLOPEGRADW_well,map_unit_groups_well,slope_phase_well,primary_series_well,secondary_series_well,tertiary_series_well,primary_texture_well,secondary_texture_well,tertiary_texture_well,extra_desc_well,slope_aspect_well,level_0_DS,index_DS,report,lab_y,sample_id_y,Matrix_y,date_sampled_ds,lat_y,lon_y,NEtFOSAA_DS,PFBS_DS,PFDA_DS,PFDoA_DS,PFHpA_DS,PFHxA_DS,PFHxS_DS,PFNA_DS,PFOA_DS,PFOS_DS,PFTA_DS,PFTrDA_DS,PFUnA_DS,elevation_ds,MUSYM_ds,BROCKDEPMI_ds,WTDEPANNMI_ds,FLODFREQDC_ds,FLODFREQMA_ds,PONDFREQPR_ds,DRCLASSDCD_ds,DRCLASSWET_ds,HYDGRPDCD_ds,SLOPE_ds,SLOPEGRADD_ds,SLOPEGRADW_ds,map_unit_groups_ds,slope_phase_ds,primary_series_ds,secondary_series_ds,tertiary_series_ds,primary_texture_ds,secondary_texture_ds,tertiary_texture_ds,extra_desc_ds,slope_aspect_ds,elevation_ds_to_well,Notif_Date,days_since_release,distance_ds_to_well,bearing_ds_to_well
52,2-0021045,2021-02-25 10:00:00,343 CHEST,Alpha,Dw,42.3790737,-71.50887493699457,0.258,3.72,0.2855,0.287,6.13,7.62,1.98,0.425,12.8,22.2,0.19875,0.2335,0.1895,111,311B,,61.0,None,None,0-14%,Moderately well drained,Moderately well drained,C,B,6.0,6.0,Excessively drained to somewhat poorly drained soils formed in dense glacial till,3 to 8 percent slopes,woodbridge,nan,nan,fine sandy loam,nan,nan,very stony,0.0,2,0,lab report FA68371 groundwater pfas 09-23-2019.pdf,SGS,other,DW - Drinking Water,2019-09-17 00:00:00,42.3949991,-71.47737498774833,0.915,9.109999999999999,59.4,2,220,223,103,30.6,178,175,0.355,0.355,122,69,259A,,,None,None,0-14%,Excessively drained,Excessively drained,A,A,2.0,2.0,Excessively drained to somewhat poorly drained soils formed in glacial outwash or lacustrine sediments,0 to 3 percent slopes,carver,nan,nan,loamy coarse sand,nan,nan,nan,0.0,-42,2019-10-24 00:00:00,490.0,0.0012458651676756534,235.6194023755162
53,2-0021045,2021-03-30 08:20:00,343 CHEST,Alpha,Dw,42.3790737,-71.50887493699457,0.258,3.87,0.2915,0.293,6.41,8.07,1.88,0.434,13.7,9.48,0.19875,0.2335,0.1935,111,311B,,61.0,None,None,0-14%,Moderately well drained,Moderately well drained,C,B,6.0,6.0,Excessively drained to somewhat poorly drained soils formed in dense glacial till,3 to 8 percent slopes,woodbridge,nan,nan,fine sandy loam,nan,nan,very stony,0.0,2,0,lab report FA68371 groundwater pfas 09-23-2019.pdf,SGS,other,DW - Drinking Water,2019-09-17 00:00:00,42.3949991,-71.47737498774833,0.915,9.109999999999999,59.4,2,220,223,103,30.6,178,175,0.355,0.355,122,69,259A,,,None,None,0-14%,Excessively drained,Excessively drained,A,A,2.0,2.0,Excessively drained to somewhat poorly drained soils formed in glacial outwash or lacustrine sediments,0 to 3 percent slopes,carver,nan,nan,loamy coarse sand,nan,nan,nan,0.0,-42,2019-10-24 00:00:00,523.0,0.0012458651676756534,235.6194023755162
54,2-0021045,2021-02-26 11:30:00,359 CHEST,Alpha,Dw,42.3791635,-71.50748557204903,0.258,3.97,0.2905,0.292,9.71,15.4,1.7,0.65,20.6,5.45,0.19875,0.2335,0.193,112,311B,,61.0,None,None,0-14%,Moderately well drained,Moderately well drained,C,B,6.0,6.0,Excessively drained to somewhat poorly drained soils formed in dense glacial till,3 to 8 percent slopes,woodbridge,nan,nan,fine sandy loam,nan,nan,very stony,0.0,2,0,lab report FA68371 groundwater pfas 09-23-2019.pdf,SGS,other,DW - Drinking Water,2019-09-17 00:00:00,42.3949991,-71.47737498774833,0.915,9.109999999999999,59.4,2,220,223,103,30.6,178,175,0.355,0.355,122,69,259A,,,None,None,0-14%,Excessively drained,Excessively drained,A,A,2.0,2.0,Excessively drained to somewhat poorly drained soils formed in glacial outwash or lacustrine sediments,0 to 3 percent slopes,carver,nan,nan,loamy coarse sand,nan,nan,nan,0.0,-43,2019-10-24 00:00:00,491.0,0.001157413514289692,234.55793032173915
55,2-0021045,2021-02-25 15:20:00,5 BEECH,Alpha,Dw,42.37829655,-71.50808370811126,0.258,5.24,0.3015,0.3035,12.2,16.9,2.62,0.824,23.1,4.87,0.19875,0.2335,0.2005,112,311B,,61.0,None,None,0-14%,Moderately well drained,Moderately well drained,C,B,6.0,6.0,Excessively drained to somewhat poorly drained soils formed in dense glacial till,3 to 8 percent slopes,woodbridge,nan,nan,fine sandy loam,nan,nan,very stony,0.0,2,0,lab report FA68371 groundwater pfas 09-23-2019.pdf,SGS,other,DW - Drinking Water,2019-09-17 00:00:00,42.3949991,-71.47737498774833,0.915,9.109999999999999,59.4,2,220,223,103,30.6,178,175,0.355,0.355,122,69,259A,,,None,None,0-14%,Excessively drained,Excessively drained,A,A,2.0,2.0,Excessively drained to somewhat poorly drained soils formed in glacial outwash or lacustrine sediments,0 to 3 percent slopes,carver,nan,nan,loamy coarse sand,nan,nan,nan,0.0,-43,2019-10-24 00:00:00,490.0,0.0012220006828306783,233.6430093692213
56,2-0021045,2021-02-26 09:45:00,9 BEECH,Alpha,Dw,42.37844905,-71.50916678465313,0.258,3.24,0.2995,0.3015,8.33,9.19,1.49,0.0657775450409823,16.0,2.42,0.19875,0.2335,0.199,111,311B,,61.0,None,None,0-14%,Moderately well drained,Moderately well drained,C,B,6.0,6.0,Excessively drained to somewhat poorly drained soils formed in dense glacial till,3 to 8 percent slopes,woodbridge,nan,nan,fine sandy loam,nan,nan,very stony,0.0,2,0,lab report FA68371 groundwater pfas 09-23-2019.pdf,SGS,other,DW - Drinking Water,2019-09-17 00:00:00,42.3949991,-71.47737498774833,0.915,9.109999999999999,59.4,2,220,223,103,30.6,178,175,0.355,0.355,122,69,259A,,,None,None,0-14%,Excessively drained,Excessively drained,A,A,2.0,2.0,Excessively drained to somewhat poorly drained soils formed in glacial outwash or lacustrine sediments,0 to 3 percent slopes,carver,nan,nan,loamy coarse sand,nan,nan,nan,0.0,-42,2019-10-24 00:00:00,491.0,0.0012846225054384186,234.83439642880234
57,2-0021045,2021-02-25 14:20:00,290 CHEST,Alpha,Dw,42.38056145,-71.51387184217226,0.258,2.85,4.48,0.2925,212.0,128.0,1.8,72.2,265.5,149.0,0.19875,0.2335,0.193,87,253B,,,None,None,0-14%,Excessively drained,Excessively drained,A,B,6.0,6.0,Excessively drained to somewhat poorly drained soils formed in glacial outwash or lacustrine sediments,3 to 8 percent slopes,hinckley,nan,nan,loamy sand,nan,nan,nan,135.0,2,0,lab report FA68371 groundwater pfas 09-23-2019.pdf,SGS,other,DW - Drinking Water,2019-09-17 00:00:00,42.3949991,-71.47737498774833,0.915,9.109999999999999,59.4,2,220,223,103,30.6,178,175,0.355,0.355,122,69,259A,,,None,None,0-14%,Excessively drained,Excessively drained,A,A,2.0,2.0,Excessively drained to somewhat poorly drained soils formed in glacial outwash or lacustrine sediments,0 to 3 percent slopes,carver,nan,nan,loamy coarse sand,nan,nan,nan,0.0,-18,2019-10-24 00:00:00,490.0,0.0015404661203640032,241.83925614264012
58,2-0021045,2021-02-26 12:20:00,3 BEECH,Alpha,Dw,42.37832485,-71.50739128060506,0.258,4.57,0.287,0.289,17.5,18.3,2.18,0.0519383471325605,34.2,6.78,0.19875,0.2335,0.191,112,311B,,61.0,None,None,0-14%,Moderately well drained,Moderately well drained,C,B,6.0,6.0,Excessively drained to somewhat poorly drained soils formed in dense glacial till,3 to 8 percent slopes,woodbridge,nan,nan,fine sandy loam,nan,nan,very stony,0.0,2,0,lab report FA68371 groundwater pfas 09-23-2019.pdf,SGS,other,DW - Drinking Water,2019-09-17 00:00:00,42.3949991,-71.47737498774833,0.915,9.109999999999999,59.4,2,220,223,103,30.6,178,175,0.355,0.355,122,69,259A,,,None,None,0-14%,Excessively drained,Excessively drained,A,A,2.0,2.0,Excessively drained to somewhat poorly drained soils formed in glacial outwash or lacustrine sediments,0 to 3 percent slopes,carver,nan,nan,loamy coarse sand,nan,nan,nan,0.0,-43,2019-10-24 00:00:00,491.0,0.0011790084499234557,233.06347419503248
59,2-0021045,2021-03-12 10:15:00,10 BEECH,Alpha,Dw,42.37759185,-71.50900390677415,0.258,4.89,0.297,0.299,6.33,16.8,2.255,1.089,19.5,5.39,0.19875,0.2335,0.1975,111,311B,,61.0,None,None,0-14%,Moderately well drained,Moderately well drained,C,B,6.0,6.0,Excessively drained to somewhat poorly drained soils formed in dense glacial till,3 to 8 percent slopes,woodbridge,nan,nan,fine sandy loam,nan,nan,very stony,270.0,2,0,lab report FA68371 groundwater pfas 09-23-2019.pdf,SGS,other,DW - Drinking Water,2019-09-17 00:00:00,42.3949991,-71.47737498774833,0.915,9.109999999999999,59.4,2,220,223,103,30.6,178,175,0.355,0.355,122,69,259A,,,None,None,0-14%,Excessively drained,Excessively drained,A,A,2.0,2.0,Excessively drained to somewhat poorly drained soils formed in glacial outwash or lacustrine sediments,0 to 3 percent slopes,carver,nan,nan,loamy coarse sand,nan,nan,nan,0.0,-42,2019-10-24 00:00:00,505.0,0.0013034008713043287,233.32009635632528
60,2-0021075,2001-01-01 00:00:00,other,SGS,water,42.4273068,-71.55109187356021,0.915,0.3021956619577493,0.95,1.9,10.34616152164114,11.031555017627054,0.10913190077872834,0.4107584669384816,8.062603128094295,0.5380700556045934,0.355,0.355,1.9,90,104C,,,None,None,0-14%,Well drained,Well drained,C/D,C,9.0,9.0,Mapunits controlled by bedrock,3 to 15 percent slopes,hollis,rock,charlton,nan,nan,nan,nan,26.565052032470703,4,0,2-0021075 - Stow - fmr fire station 16 Crescent GW 2-18-2020.pdf,SGS,other,AQ - Water,2020-02-18 00:00:00,42.43755315,-71.50554356657487,0.915,12.5,3.915,1,21.95,30.65,161.35,10.05,30.15,109.35,0.355,0.355,1.015,85,626B,,,None,None,0-14%,,Somewhat excessively drained,,B,4.0,4.0,"Miscellaneous land types, urban land, and soils above series levels",0 to 8 percent slopes,merrimac,nan,nan,nan,nan,nan,nan,180.0,-5,2019-10-01 00:00:00,,0.0021796359575532035,253.06479551976895
61,2-0021075,2001-01-01 00:00:00,other,SGS,water,42.43119417076531,-71.50764450142321,0.915,3.1817257894836137,0.95,1.85,8.854239996696359,13.21232260972566,3.792259899287112,0.0028740518988663,14.122202849762413,4.454754478714101,0.355,0.355,1.85,70,52A,,15.0,None,None,0-14%,Very poorly drained,Very poorly drained,D,A,1.0,1.0,"Water, poorly, and very poorly drained soils",0 to 1 percent slopes,freetown,nan,nan,muck,nan,nan,nan,341.5650634765625,4,0,2-0021075 - Stow - fmr fire station 16 Crescent GW 2-18-2020.pdf,SGS,other,AQ - Water,2020-02-18 00:00:00,42.43755315,-71.50554356657487,0.915,12.5,3.915,1,21.95,30.65,161.35,10.05,30.15,109.35,0.355,0.355,1.015,85,626B,,,None,None,0-14%,,Somewhat excessively drained,,B,4.0,4.0,"Miscellaneous land types, urban land, and soils above series levels",0 to 8 percent slopes,merrimac,nan,nan,nan,nan,nan,nan,180.0,15,2019-10-01 00:00:00,,4.48505441442053e-05,193.7044877080972
62,2-0021075,2001-01-01 00:00:00,other,SGS,water,42.43486465,-71.50495855663858,0.915,0.401038707152424,0.9,1.8,0.386670764394948,0.696589423264211,0.146449502822663,0.538403615350764,0.423813231740876,0.828854376677305,0.355,0.355,1.8,67,626B,,,None,None,0-14%,,Somewhat excessively drained,,B,4.0,4.0,"Miscellaneous land types, urban land, and soils above series levels",0 to 8 percent slopes,merrimac,nan,nan,nan,nan,nan,nan,0.0,4,0,2-0021075 - Stow - fmr fire station 16 Crescent GW 2-18-2020.pdf,SGS,other,AQ - Water,2020-02-18 00:00:00,42.43755315,-71.50554356657487,0.915,12.5,3.915,1,21.95,30.65,161.35,10.05,30.15,109.35,0.355,0.355,1.015,85,626B,,,None,None,0-14%,,Somewhat excessively drained,,B,4.0,4.0,"Miscellaneous land types, urban land, and soils above series levels",0 to 8 percent slopes,merrimac,nan,nan,nan,nan,nan,nan,180.0,18,2019-10-01 00:00:00,,7.570268875543559e-06,170.87639938658802
63,2-0021075,2019-12-05 00:00:00,22 GLEASONDALE RD,SGS,DW - Drinking Water,42.43486465,-71.50495855663858,0.915,4.99,0.9,9.0,5.21,12.4,12.6,0.613623006252876,11.5,5.51,0.355,0.355,9.0,67,626B,,,None,None,0-14%,,Somewhat excessively drained,,B,4.0,4.0,"Miscellaneous land types, urban land, and soils above series levels",0 to 8 percent slopes,merrimac,nan,nan,nan,nan,nan,nan,0.0,4,0,2-0021075 - Stow - fmr fire station 16 Crescent GW 2-18-2020.pdf,SGS,other,AQ - Water,2020-02-18 00:00:00,42.43755315,-71.50554356657487,0.915,12.5,3.915,1,21.95,30.65,161.35,10.05,30.15,109.35,0.355,0.355,1.015,85,626B,,,None,None,0-14%,,Somewhat excessively drained,,B,4.0,4.0,"Miscellaneous land types, urban land, and soils above series levels",0 to 8 percent slopes,merrimac,nan,nan,nan,nan,nan,nan,180.0,18,2019-10-01 00:00:00,65.0,7.570268875543559e-06,170.87639938658802
64,2-0021075,2001-01-01 00:00:00,other,SGS,water,42.4349047,-71.50558278725381,0.915,1.35138657294172,0.9,5.4,2.1258670707246514,4.142896642197395,2.256513645152538,0.390353729384991,4.83935976375775,2.1440066090670094,0.355,0.355,5.4,67,253B,,,None,None,0-14%,Excessively drained,Excessively drained,A,B,6.0,6.0,Excessively drained to somewhat poorly drained soils formed in glacial outwash or lacustrine sediments,3 to 8 percent slopes,hinckley,nan,nan,loamy sand,nan,nan,nan,0.0,4,0,2-0021075 - Stow - fmr fire station 16 Crescent GW 2-18-2020.pdf,SGS,other,AQ - Water,2020-02-18 00:00:00,42.43755315,-71.50554356657487,0.915,12.5,3.915,1,21.95,30.65,161.35,10.05,30.15,109.35,0.355,0.355,1.015,85,626B,,,None,None,0-14%,,Somewhat excessively drained,,B,4.0,4.0,"Miscellaneous land types, urban land, and soils above series levels",0 to 8 percent slopes,merrimac,nan,nan,nan,nan,nan,nan,180.0,18,2019-10-01 00:00:00,,7.015825664169212e-06,180.62619727007203
65,2-0021075,2001-01-01 00:00:00,other,SGS,water,42.4353212,-71.5048318,0.915,3.6992177898693566,0.9,1.8,1.7978222647129491,6.4034110544802045,10.81805199895276,0.05679366978874835,3.771866645006726,2.7196884276087587,0.355,0.355,1.8,67,626B,,,None,None,0-14%,,Somewhat excessively drained,,B,4.0,4.0,"Miscellaneous land types, urban land, and soils above series levels",0 to 8 percent slopes,merrimac,nan,nan,nan,nan,nan,nan,0.0,4,0,2-0021075 - Stow - fmr fire station 16 Crescent GW 2-18-2020.pdf,SGS,other,AQ - Water,2020-02-18 00:00:00,42.43755315,-71.50554356657487,0.915,12.5,3.915,1,21.95,30.65,161.35,10.05,30.15,109.35,0.355,0.355,1.015,85,626B,,,None,None,0-14%,,Somewhat excessively drained,,B,4.0,4.0,"Miscellaneous land types, urban land, and soils above series levels",0 to 8 percent slopes,merrimac,nan,nan,nan,nan,nan,nan,180.0,18,2019-10-01 00:00:00,,5.488212459607663e-06,166.75588824595673
66,2-0021075,2001-01-01 00:00:00,other,SGS,water,42.43691655,-71.50571021509207,0.915,6.975072310793995,0.95,1.85,6.37501540153746,18.25995865244122,33.25377778878509,0.01465931796412985,6.5034970263340295,9.435828407702175,0.355,0.355,1.85,70,626B,,,None,None,0-14%,,Somewhat excessively drained,,B,4.0,4.0,"Miscellaneous land types, urban land, and soils above series levels",0 to 8 percent slopes,merrimac,nan,nan,nan,nan,nan,nan,153.43495178222656,4,0,2-0021075 - Stow - fmr fire station 16 Crescent GW 2-18-2020.pdf,SGS,other,AQ - Water,2020-02-18 00:00:00,42.43755315,-71.50554356657487,0.915,12.5,3.915,1,21.95,30.65,161.35,10.05,30.15,109.35,0.355,0.355,1.015,85,626B,,,None,None,0-14%,,Somewhat excessively drained,,B,4.0,4.0,"Miscellaneous land types, urban land, and soils above series levels",0 to 8 percent slopes,merrimac,nan,nan,nan,nan,nan,nan,180.0,15,2019-10-01 00:00:00,,4.330312882828875e-07,190.93473103904836
67,2-0021075,2001-01-01 00:00:00,other,SGS,water,42.4369402,-71.50540098192985,0.915,19.09177087116898,0.975,1.925,15.1139214647371,56.85758690151126,102.04398904898277,0.07307400009592001,10.983983303874528,46.129133004858794,0.355,0.355,1.925,70,626B,,,None,None,0-14%,,Somewhat excessively drained,,B,4.0,4.0,"Miscellaneous land types, urban land, and soils above series levels",0 to 8 percent slopes,merrimac,nan,nan,nan,nan,nan,nan,153.43495178222656,4,0,2-0021075 - Stow - fmr fire station 16 Crescent GW 2-18-2020.pdf,SGS,other,AQ - Water,2020-02-18 00:00:00,42.43755315,-71.50554356657487,0.915,12.5,3.915,1,21.95,30.65,161.35,10.05,30.15,109.35,0.355,0.355,1.015,85,626B,,,None,None,0-14%,,Somewhat excessively drained,,B,4.0,4.0,"Miscellaneous land types, urban land, and soils above series levels",0 to 8 percent slopes,merrimac,nan,nan,nan,nan,nan,nan,180.0,15,2019-10-01 00:00:00,,3.960380834917044e-07,170.25850537557474
68,2-0021075,2001-01-01 00:00:00,other,SGS,water,42.437078,-71.50744985813903,0.915,1.5943078355198936,0.9,1.8,5.573971077379961,24.6790754543863,0.2253722890540615,0.5106077918863945,6.909835212892595,1.881988591109915,0.355,0.355,1.8,74,622C,,61.0,None,None,0-14%,,Well drained,,C,9.0,9.0,"Miscellaneous land types, urban land, and soils above series levels",3 to 15 percent slopes,paxton,nan,nan,nan,nan,nan,nan,180.0,4,0,2-0021075 - Stow - fmr fire station 16 Crescent GW 2-18-2020.pdf,SGS,other,AQ - Water,2020-02-18 00:00:00,42.43755315,-71.50554356657487,0.915,12.5,3.915,1,21.95,30.65,161.35,10.05,30.15,109.35,0.355,0.355,1.015,85,626B,,,None,None,0-14%,,Somewhat excessively drained,,B,4.0,4.0,"Miscellaneous land types, urban land, and soils above series levels",0 to 8 percent slopes,merrimac,nan,nan,nan,nan,nan,nan,180.0,11,2019-10-01 00:00:00,,3.859715050064919e-06,251.33903577491543
69,2-0021075,2001-01-01 00:00:00,other,SGS,water,42.43713685,-71.51049658209082,0.915,0.6084548691071114,0.9,1.8,0.72431245704641,1.7153472831651886,0.259878582801953,0.985209396378221,1.9056288806455268,1.94262932728938,0.355,0.355,1.8,72,622C,,61.0,None,None,0-14%,,Well drained,,C,9.0,9.0,"Miscellaneous land types, urban land, and soils above series levels",3 to 15 percent slopes,paxton,nan,nan,nan,nan,nan,nan,333.4349365234375,4,0,2-0021075 - Stow - fmr fire station 16 Crescent GW 2-18-2020.pdf,SGS,other,AQ - Water,2020-02-18 00:00:00,42.43755315,-71.50554356657487,0.915,12.5,3.915,1,21.95,30.65,161.35,10.05,30.15,109.35,0.355,0.355,1.015,85,626B,,,None,None,0-14%,,Somewhat excessively drained,,B,4.0,4.0,"Miscellaneous land types, urban land, and soils above series levels",0 to 8 percent slopes,merrimac,nan,nan,nan,nan,nan,nan,180.0,13,2019-10-01 00:00:00,,2.470566839125558e-05,263.5044652567116
70,2-0021075,2001-01-01 00:00:00,other,SGS,water,42.4415477,-71.5091137,0.915,0.6483484111684538,0.9625,1.8875,0.7761460984597238,2.466479825795405,0.005684908698767576,0.008619578158161325,3.019852749627529,5.197121366125945,0.355,0.355,1.8875,89,311B,,61.0,None,None,0-14%,Moderately well drained,Moderately well drained,C,B,6.0,6.0,Excessively drained to somewhat poorly drained soils formed in dense glacial till,3 to 8 percent slopes,woodbridge,nan,nan,fine sandy loam,nan,nan,very stony,0.0,4,0,2-0021075 - Stow - fmr fire station 16 Crescent GW 2-18-2020.pdf,SGS,other,AQ - Water,2020-02-18 00:00:00,42.43755315,-71.50554356657487,0.915,12.5,3.915,1,21.95,30.65,161.35,10.05,30.15,109.35,0.355,0.355,1.015,85,626B,,,None,None,0-14%,,Somewhat excessively drained,,B,4.0,4.0,"Miscellaneous land types, urban land, and soils above series levels",0 to 8 percent slopes,merrimac,nan,nan,nan,nan,nan,nan,180.0,-4,2019-10-01 00:00:00,,2.870228237573303e-05,326.59319489528997
71,2-0021075,2019-09-25 14:25:00,27 CARRIAGE LN,Alpha,Dw,42.4415477,-71.5091137,0.258,2.64,0.93,0.93,3.39,5.55,0.0874448304970081,0.131693688065206,14.4,2.21,0.19875,0.2335,0.93,89,311B,,61.0,None,None,0-14%,Moderately well drained,Moderately well drained,C,B,6.0,6.0,Excessively drained to somewhat poorly drained soils formed in dense glacial till,3 to 8 percent slopes,woodbridge,nan,nan,fine sandy loam,nan,nan,very stony,0.0,4,0,2-0021075 - Stow - fmr fire station 16 Crescent GW 2-18-2020.pdf,SGS,other,AQ - Water,2020-02-18 00:00:00,42.43755315,-71.50554356657487,0.915,12.5,3.915,1,21.95,30.65,161.35,10.05,30.15,109.35,0.355,0.355,1.015,85,626B,,,None,None,0-14%,,Somewhat excessively drained,,B,4.0,4.0,"Miscellaneous land types, urban land, and soils above series levels",0 to 8 percent slopes,merrimac,nan,nan,nan,nan,nan,nan,180.0,-4,2019-10-01 00:00:00,-6.0,2.870228237573303e-05,326.59319489528997
72,2-0021075,2001-01-01 00:00:00,other,SGS,water,42.44167195,-71.50841997510149,0.915,0.2075770416717735,0.95,1.85,1.8205870638394042,3.5294197310784208,0.054686008372827874,0.6363775641050156,3.018903238355741,12.340507250512566,0.355,0.355,1.85,79,311B,,61.0,None,None,0-14%,Moderately well drained,Moderately well drained,C,B,6.0,6.0,Excessively drained to somewhat poorly drained soils formed in dense glacial till,3 to 8 percent slopes,woodbridge,nan,nan,fine sandy loam,nan,nan,very stony,153.43495178222656,4,0,2-0021075 - Stow - fmr fire station 16 Crescent GW 2-18-2020.pdf,SGS,other,AQ - Water,2020-02-18 00:00:00,42.43755315,-71.50554356657487,0.915,12.5,3.915,1,21.95,30.65,161.35,10.05,30.15,109.35,0.355,0.355,1.015,85,626B,,,None,None,0-14%,,Somewhat excessively drained,,B,4.0,4.0,"Miscellaneous land types, urban land, and soils above series levels",0 to 8 percent slopes,merrimac,nan,nan,nan,nan,nan,nan,180.0,6,2019-10-01 00:00:00,,2.523823945200239e-05,332.7351806090211
73,2-0021075,2019-09-26 11:50:00,33 CARRIAGE LN,Alpha,Dw,42.44167195,-71.50841997510149,0.258,1.0446996748938,0.865,0.865,5.74,11.9,0.350709687192746,2.41,9.57,14.1,0.19875,0.2335,0.865,79,311B,,61.0,None,None,0-14%,Moderately well drained,Moderately well drained,C,B,6.0,6.0,Excessively drained to somewhat poorly drained soils formed in dense glacial till,3 to 8 percent slopes,woodbridge,nan,nan,fine sandy loam,nan,nan,very stony,153.43495178222656,4,0,2-0021075 - Stow - fmr fire station 16 Crescent GW 2-18-2020.pdf,SGS,other,AQ - Water,2020-02-18 00:00:00,42.43755315,-71.50554356657487,0.915,12.5,3.915,1,21.95,30.65,161.35,10.05,30.15,109.35,0.355,0.355,1.015,85,626B,,,None,None,0-14%,,Somewhat excessively drained,,B,4.0,4.0,"Miscellaneous land types, urban land, and soils above series levels",0 to 8 percent slopes,merrimac,nan,nan,nan,nan,nan,nan,180.0,6,2019-10-01 00:00:00,-5.0,2.523823945200239e-05,332.7351806090211
74,2-0021075,2001-01-01 00:00:00,other,SGS,water,42.4421888,-71.50818353849468,0.915,0.8719332536761437,0.95,1.85,1.3737563506608754,3.0401740582106056,0.06628910374229505,0.11111692552184985,2.622541900284707,18.527900083411264,0.355,0.355,1.85,81,71B,,8.0,None,None,0-14%,Poorly drained,Poorly drained,C,B,2.0,2.0,"Water, poorly, and very poorly drained soils",3 to 8 percent slopes,ridgebury,nan,nan,fine sandy loam,nan,nan,stony,71.56504821777344,4,0,2-0021075 - Stow - fmr fire station 16 Crescent GW 2-18-2020.pdf,SGS,other,AQ - Water,2020-02-18 00:00:00,42.43755315,-71.50554356657487,0.915,12.5,3.915,1,21.95,30.65,161.35,10.05,30.15,109.35,0.355,0.355,1.015,85,626B,,,None,None,0-14%,,Somewhat excessively drained,,B,4.0,4.0,"Miscellaneous land types, urban land, and soils above series levels",0 to 8 percent slopes,merrimac,nan,nan,nan,nan,nan,nan,180.0,4,2019-10-01 00:00:00,,2.845870265983602e-05,337.20494215979113
75,2-0021075,2019-09-26 11:25:00,30 CARRIAGE LN,Alpha,Dw,42.4421888,-71.50818353849468,0.258,3.39,0.94,0.94,5.69,15.0,0.426015297893993,0.274038953925336,10.8,9.14,0.19875,0.2335,0.94,81,71B,,8.0,None,None,0-14%,Poorly drained,Poorly drained,C,B,2.0,2.0,"Water, poorly, and very poorly drained soils",3 to 8 percent slopes,ridgebury,nan,nan,fine sandy loam,nan,nan,stony,71.56504821777344,4,0,2-0021075 - Stow - fmr fire station 16 Crescent GW 2-18-2020.pdf,SGS,other,AQ - Water,2020-02-18 00:00:00,42.43755315,-71.50554356657487,0.915,12.5,3.915,1,21.95,30.65,161.35,10.05,30.15,109.35,0.355,0.355,1.015,85,626B,,,None,None,0-14%,,Somewhat excessively drained,,B,4.0,4.0,"Miscellaneous land types, urban land, and soils above series levels",0 to 8 percent slopes,merrimac,nan,nan,nan,nan,nan,nan,180.0,4,2019-10-01 00:00:00,-5.0,2.845870265983602e-05,337.20494215979113
76,2-0021075,2020-01-30 00:00:00,DISTILLED DECON WATER,SGS,AQ - Water,42.43755315,-71.50554356657487,0.915,0.448182633380236,0.465,0.7,0.110411827441286,0.15738943989593,0.143720330562001,0.31552486139668,0.287934348321457,0.309821764065856,0.355,0.355,0.465,85,626B,,,None,None,0-14%,,Somewhat excessively drained,,B,4.0,4.0,"Miscellaneous land types, urban land, and soils above series levels",0 to 8 percent slopes,merrimac,nan,nan,nan,nan,nan,nan,180.0,4,0,2-0021075 - Stow - fmr fire station 16 Crescent GW 2-18-2020.pdf,SGS,other,AQ - Water,2020-02-18 00:00:00,42.43755315,-71.50554356657487,0.915,12.5,3.915,1,21.95,30.65,161.35,10.05,30.15,109.35,0.355,0.355,1.015,85,626B,,,None,None,0-14%,,Somewhat excessively drained,,B,4.0,4.0,"Miscellaneous land types, urban land, and soils above series levels",0 to 8 percent slopes,merrimac,nan,nan,nan,nan,nan,nan,180.0,0,2019-10-01 00:00:00,121.0,0.0,0.0
77,2-0021075,2020-02-18 00:00:00,other,SGS,AQ - Ground Water,42.43755315,-71.50554356657487,0.915,12.5,3.915,1.0,21.95,30.65,161.35,10.05,30.15,109.35,0.355,0.355,1.015,85,626B,,,None,None,0-14%,,Somewhat excessively drained,,B,4.0,4.0,"Miscellaneous land types, urban land, and soils above series levels",0 to 8 percent slopes,merrimac,nan,nan,nan,nan,nan,nan,180.0,4,0,2-0021075 - Stow - fmr fire station 16 Crescent GW 2-18-2020.pdf,SGS,other,AQ - Water,2020-02-18 00:00:00,42.43755315,-71.50554356657487,0.915,12.5,3.915,1,21.95,30.65,161.35,10.05,30.15,109.35,0.355,0.355,1.015,85,626B,,,None,None,0-14%,,Somewhat excessively drained,,B,4.0,4.0,"Miscellaneous land types, urban land, and soils above series levels",0 to 8 percent slopes,merrimac,nan,nan,nan,nan,nan,nan,180.0,0,2019-10-01 00:00:00,140.0,0.0,0.0
