,folder,report,RTN,type,address,lab,error,results_pages,extracted
460,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,FA68412 - 359 Chestnut - 09-25-2019 Final.pdf,2-0020923,receptor,,sgs,,9,True
461,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,FA68411 - 341 Chestnut - 09-25-2019 Final.pdf,2-0020923,receptor,,sgs,,6,True
462,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,FA68411 - 341 Chestnut - 09-25-2019 Final.pdf,2-0020923,receptor,,sgs,,7,True
463,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,FA68411 - 341 Chestnut - 09-25-2019 Final.pdf,2-0020923,receptor,,sgs,,8,True
464,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,FA68410 - 300 Chestnut -09-25-2019 Final.pdf,2-0020923,receptor,,sgs,,6,True
465,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,FA68410 - 300 Chestnut -09-25-2019 Final.pdf,2-0020923,receptor,,sgs,,7,True
466,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,FA68410 - 300 Chestnut -09-25-2019 Final.pdf,2-0020923,receptor,,sgs,,8,True
468,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,FA68407 - 7 Beechnut - 09-25-2019 Final.pdf,2-0020923,receptor,,sgs,,6,True
469,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,FA68404 - 308 Chestnut - 09-25-2019 Final.pdf,2-0020923,receptor,,sgs,,6,True
470,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,FA68404 - 308 Chestnut - 09-25-2019 Final.pdf,2-0020923,receptor,,sgs,,7,True
471,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,FA68404 - 308 Chestnut - 09-25-2019 Final.pdf,2-0020923,receptor,,sgs,,8,True
473,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,FA68403 - 307 Chestnut -09-25-2019 Final.pdf,2-0020923,receptor,,sgs,,6,True
474,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,FA68403 - 307 Chestnut -09-25-2019 Final.pdf,2-0020923,receptor,,sgs,,7,True
475,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,FA68403 - 307 Chestnut -09-25-2019 Final.pdf,2-0020923,receptor,,sgs,,8,True
477,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,FA67841 - 296 Chestnut - 10-31-2019 Final.pdf,2-0020923,receptor,,sgs,,6,True
478,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,FA67841 - 296 Chestnut - 10-31-2019 Final.pdf,2-0020923,receptor,,sgs,,7,True
479,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,FA67841 - 296 Chestnut - 10-31-2019 Final.pdf,2-0020923,receptor,,sgs,,8,True
480,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,FA68414 - 3 Beechnut - 09-25-2019 Final.pdf,2-0020923,receptor,,sgs,,6,True
481,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,FA68414 - 3 Beechnut - 09-25-2019 Final.pdf,2-0020923,receptor,,sgs,,7,True
482,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,FA68414 - 3 Beechnut - 09-25-2019 Final.pdf,2-0020923,receptor,,sgs,,8,True
483,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,FA69278 - 359 Chestnut - 11-04-2019 Final.pdf,2-0020923,receptor,,sgs,,6,True
484,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,FA69278 - 359 Chestnut - 11-04-2019 Final.pdf,2-0020923,receptor,,sgs,,7,True
485,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,FA69278 - 359 Chestnut - 11-04-2019 Final.pdf,2-0020923,receptor,,sgs,,8,True
486,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,FA69278 - 359 Chestnut - 11-04-2019 Final.pdf,2-0020923,receptor,,sgs,,9,True
487,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,FA69277 - 343 Chestnut - 10-23-2019 Final.pdf,2-0020923,receptor,,sgs,,6,True
488,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,FA69277 - 343 Chestnut - 10-23-2019 Final.pdf,2-0020923,receptor,,sgs,,7,True
489,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,FA69277 - 343 Chestnut - 10-23-2019 Final.pdf,2-0020923,receptor,,sgs,,8,True
490,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,FA69277 - 343 Chestnut - 10-23-2019 Final.pdf,2-0020923,receptor,,sgs,,9,True
491,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,FA69276 - 341 Chestnut - 10-23-2019 Final.pdf,2-0020923,receptor,,sgs,,6,True
492,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,FA69276 - 341 Chestnut - 10-23-2019 Final.pdf,2-0020923,receptor,,sgs,,7,True
493,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,FA69276 - 341 Chestnut - 10-23-2019 Final.pdf,2-0020923,receptor,,sgs,,8,True
494,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,FA69275 - 3 Beechnut - 10-23-2019 Final.pdf,2-0020923,receptor,,sgs,,6,True
495,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,FA69275 - 3 Beechnut - 10-23-2019 Final.pdf,2-0020923,receptor,,sgs,,7,True
496,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,FA69275 - 3 Beechnut - 10-23-2019 Final.pdf,2-0020923,receptor,,sgs,,8,True
497,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,FA69267 - 308 Chestnut - 10-23-2019 Final.pdf,2-0020923,receptor,,sgs,,6,True
498,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,FA69267 - 308 Chestnut - 10-23-2019 Final.pdf,2-0020923,receptor,,sgs,,7,True
499,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,FA69267 - 308 Chestnut - 10-23-2019 Final.pdf,2-0020923,receptor,,sgs,,8,True
501,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,FA69266 - 307 Chestnut - 10-23-2019 Final.pdf,2-0020923,receptor,,sgs,,6,True
502,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,FA69266 - 307 Chestnut - 10-23-2019 Final.pdf,2-0020923,receptor,,sgs,,7,True
503,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,FA69266 - 307 Chestnut - 10-23-2019 Final.pdf,2-0020923,receptor,,sgs,,8,True
504,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,FA69264 - 300 Chestnut - 10-23-2019 Final.pdf,2-0020923,receptor,,sgs,,6,True
505,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,FA69264 - 300 Chestnut - 10-23-2019 Final.pdf,2-0020923,receptor,,sgs,,7,True
506,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,FA69264 - 300 Chestnut - 10-23-2019 Final.pdf,2-0020923,receptor,,sgs,,8,True
508,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,FA69263 -7 Beechnut - 10-23-2019 Final.pdf,2-0020923,receptor,,sgs,,6,True
509,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,FA69263 -7 Beechnut - 10-23-2019 Final.pdf,2-0020923,receptor,,sgs,,7,True
510,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,FA69263 -7 Beechnut - 10-23-2019 Final.pdf,2-0020923,receptor,,sgs,,8,True
511,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,L1945610 - 290 Chestnut 10-02-2019 Final.pdf,2-0020923,receptor,,alpha,,7,True
512,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,L1945610 - 290 Chestnut 10-02-2019 Final.pdf,2-0020923,receptor,,alpha,,8,True
514,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,L1945610 - 290 Chestnut 10-02-2019 Final.pdf,2-0020923,receptor,,alpha,,10,True
515,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,L1945610 - 290 Chestnut 10-02-2019 Final.pdf,2-0020923,receptor,,alpha,,11,True
517,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,FA68622 - 290 Chestnut 10-02-2019 Revised.pdf,2-0020923,receptor,,sgs,,7,True
518,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,FA68622 - 290 Chestnut 10-02-2019 Revised.pdf,2-0020923,receptor,,sgs,,8,True
519,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,FA68622 - 290 Chestnut 10-02-2019 Revised.pdf,2-0020923,receptor,,sgs,,9,True
521,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,FA69693 - 3 Stony 11-06-2019 Final.pdf,2-0020923,receptor,,sgs,,6,True
522,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,FA69693 - 3 Stony 11-06-2019 Final.pdf,2-0020923,receptor,,sgs,,7,True
523,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,FA69693 - 3 Stony 11-06-2019 Final.pdf,2-0020923,receptor,,sgs,,8,True
524,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,FA69697 - 5 Beechnut - 11-06-2019 Final.pdf,2-0020923,receptor,,sgs,,6,True
525,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,FA69697 - 5 Beechnut - 11-06-2019 Final.pdf,2-0020923,receptor,,sgs,,7,True
526,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,FA69697 - 5 Beechnut - 11-06-2019 Final.pdf,2-0020923,receptor,,sgs,,8,True
527,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,FA69702 - 296 Chestnut - 11-06-2019 Final.pdf,2-0020923,receptor,,sgs,,6,True
529,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,FA69702 - 296 Chestnut - 11-06-2019 Final.pdf,2-0020923,receptor,,sgs,,8,True
531,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,FA69702 - 296 Chestnut - 11-06-2019 Final.pdf,2-0020923,receptor,,sgs,,10,True
533,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,FA69703 - 290 Chestnut 11-06-2019 Final.pdf,2-0020923,receptor,,sgs,,6,True
535,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,FA69703 - 290 Chestnut 11-06-2019 Final.pdf,2-0020923,receptor,,sgs,,8,True
537,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,FA69703 - 290 Chestnut 11-06-2019 Final.pdf,2-0020923,receptor,,sgs,,10,True
539,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,FA69701 - 264 Chestnut - 11-06-2019 Final.pdf,2-0020923,receptor,,sgs,,6,True
540,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,FA69701 - 264 Chestnut - 11-06-2019 Final.pdf,2-0020923,receptor,,sgs,,7,True
541,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,FA69701 - 264 Chestnut - 11-06-2019 Final.pdf,2-0020923,receptor,,sgs,,8,True
543,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,FA69694 - 305 Chestnut - 11-06-2019 Final.pdf,2-0020923,receptor,,sgs,,6,True
544,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,FA69694 - 305 Chestnut - 11-06-2019 Final.pdf,2-0020923,receptor,,sgs,,7,True
545,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,FA69694 - 305 Chestnut - 11-06-2019 Final.pdf,2-0020923,receptor,,sgs,,8,True
547,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,FA69696 - 343 Chestnut - 11-06-2019 Final.pdf,2-0020923,receptor,,sgs,,6,True
548,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,FA69696 - 343 Chestnut - 11-06-2019 Final.pdf,2-0020923,receptor,,sgs,,7,True
549,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,FA69696 - 343 Chestnut - 11-06-2019 Final.pdf,2-0020923,receptor,,sgs,,8,True
551,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,FA69696 - 343 Chestnut - 11-06-2019 Final.pdf,2-0020923,receptor,,sgs,,10,True
552,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,FA70205 - 359 Chestnut - 11-20-2019 Final.pdf,2-0020923,receptor,,sgs,,7,True
553,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,FA70205 - 359 Chestnut - 11-20-2019 Final.pdf,2-0020923,receptor,,sgs,,8,True
554,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,FA70205 - 359 Chestnut - 11-20-2019 Final.pdf,2-0020923,receptor,,sgs,,9,True
555,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,FA70182 - 9 Beechnut - 11-20-2019 Final.pdf,2-0020923,receptor,,sgs,,6,True
556,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,FA70182 - 9 Beechnut - 11-20-2019 Final.pdf,2-0020923,receptor,,sgs,,7,True
557,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,FA70182 - 9 Beechnut - 11-20-2019 Final.pdf,2-0020923,receptor,,sgs,,8,True
559,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,FA70183 - 307 Chestnut - 11-20-2019 Final.pdf,2-0020923,receptor,,sgs,,6,True
560,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,FA70183 - 307 Chestnut - 11-20-2019 Final.pdf,2-0020923,receptor,,sgs,,7,True
562,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,FA70183 - 307 Chestnut - 11-20-2019 Final.pdf,2-0020923,receptor,,sgs,,9,True
564,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,FA70186 - 7 Beechnut - 11-20-2019 Final.pdf,2-0020923,receptor,,sgs,,6,True
566,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,FA70186 - 7 Beechnut - 11-20-2019 Final.pdf,2-0020923,receptor,,sgs,,8,True
568,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,FA70186 - 7 Beechnut - 11-20-2019 Final.pdf,2-0020923,receptor,,sgs,,10,True
569,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,FA70187 - 3 Beechnut - 11-20-2019 Final.pdf,2-0020923,receptor,,sgs,,6,True
570,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,FA70187 - 3 Beechnut - 11-20-2019 Final.pdf,2-0020923,receptor,,sgs,,7,True
571,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,FA70187 - 3 Beechnut - 11-20-2019 Final.pdf,2-0020923,receptor,,sgs,,8,True
572,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,FA68622 - 290 Chestnut 10-02-2019 Reissued Final.pdf,2-0020923,receptor,,sgs,,7,True
573,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,FA68622 - 290 Chestnut 10-02-2019 Reissued Final.pdf,2-0020923,receptor,,sgs,,8,True
574,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,FA68622 - 290 Chestnut 10-02-2019 Reissued Final.pdf,2-0020923,receptor,,sgs,,9,True
576,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,FA70189 - 341 Chestnut - 11-20-2019 Final.pdf,2-0020923,receptor,,sgs,,6,True
577,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,FA70189 - 341 Chestnut - 11-20-2019 Final.pdf,2-0020923,receptor,,sgs,,7,True
578,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,FA70189 - 341 Chestnut - 11-20-2019 Final.pdf,2-0020923,receptor,,sgs,,8,True
579,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,FA70581 - 308 Chestnut - 12-04-2019.pdf,2-0020923,receptor,,sgs,,7,True
580,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,FA70581 - 308 Chestnut - 12-04-2019.pdf,2-0020923,receptor,,sgs,,8,True
582,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,FA70581 - 308 Chestnut - 12-04-2019.pdf,2-0020923,receptor,,sgs,,10,True
583,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,FA70579 - 300 Chestnut - 12-04-2019 Final.pdf,2-0020923,receptor,,sgs,,7,True
584,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,FA70579 - 300 Chestnut - 12-04-2019 Final.pdf,2-0020923,receptor,,sgs,,8,True
585,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,FA70579 - 300 Chestnut - 12-04-2019 Final.pdf,2-0020923,receptor,,sgs,,9,True
587,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,FA70577 - 3 Stony 12-04-2019 Final.pdf,2-0020923,receptor,,sgs,,7,True
588,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,FA70577 - 3 Stony 12-04-2019 Final.pdf,2-0020923,receptor,,sgs,,8,True
589,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,FA70577 - 3 Stony 12-04-2019 Final.pdf,2-0020923,receptor,,sgs,,9,True
590,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,FA70575 - 343 Chestnut - 12-04-2019 Final.pdf,2-0020923,receptor,,sgs,,7,True
591,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,FA70575 - 343 Chestnut - 12-04-2019 Final.pdf,2-0020923,receptor,,sgs,,8,True
592,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,FA70575 - 343 Chestnut - 12-04-2019 Final.pdf,2-0020923,receptor,,sgs,,9,True
594,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,FA70573 - 305 Chestnut - 12-04-2020 Final.pdf,2-0020923,receptor,,sgs,,7,True
595,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,FA70573 - 305 Chestnut - 12-04-2020 Final.pdf,2-0020923,receptor,,sgs,,8,True
596,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,FA70573 - 305 Chestnut - 12-04-2020 Final.pdf,2-0020923,receptor,,sgs,,9,True
598,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,FA70572 - 264 - 12-04-2019 Final.pdf,2-0020923,receptor,,sgs,,7,True
599,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,FA70572 - 264 - 12-04-2019 Final.pdf,2-0020923,receptor,,sgs,,8,True
600,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,FA70572 - 264 - 12-04-2019 Final.pdf,2-0020923,receptor,,sgs,,9,True
601,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,FA70569 - 5 Beechnut - 12-04-2019 Final.pdf,2-0020923,receptor,,sgs,,7,True
602,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,FA70569 - 5 Beechnut - 12-04-2019 Final.pdf,2-0020923,receptor,,sgs,,8,True
603,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,FA70569 - 5 Beechnut - 12-04-2019 Final.pdf,2-0020923,receptor,,sgs,,9,True
604,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,FA70824 - 3 Beechnut - 12-11-2019 Final.pdf,2-0020923,receptor,,sgs,,7,True
606,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,FA70824 - 3 Beechnut - 12-11-2019 Final.pdf,2-0020923,receptor,,sgs,,9,True
608,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,FA70824 - 3 Beechnut - 12-11-2019 Final.pdf,2-0020923,receptor,,sgs,,11,True
609,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,FA70824 - 3 Beechnut - 12-11-2019 Final.pdf,2-0020923,receptor,,sgs,,12,True
610,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,FA70824 - 3 Beechnut - 12-11-2019 Final.pdf,2-0020923,receptor,,sgs,,13,True
611,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,FA70578 - 290 Chestnut 12-04-2019 Final.pdf,2-0020923,receptor,,sgs,,7,True
612,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,FA70578 - 290 Chestnut 12-04-2019 Final.pdf,2-0020923,receptor,,sgs,,8,True
613,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,FA70578 - 290 Chestnut 12-04-2019 Final.pdf,2-0020923,receptor,,sgs,,9,True
615,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,FA71447 - 3 Stony 01-08-2020 Final.pdf,2-0020923,receptor,,sgs,,7,True
616,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,FA71447 - 3 Stony 01-08-2020 Final.pdf,2-0020923,receptor,,sgs,,8,True
617,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,FA71447 - 3 Stony 01-08-2020 Final.pdf,2-0020923,receptor,,sgs,,9,True
618,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,FA71446 - 7 Beechnut - 01-08-2020 Final.pdf,2-0020923,receptor,,sgs,,7,True
619,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,FA71445 - 9 Beechnut - 01-08-2020 Final.pdf,2-0020923,receptor,,sgs,,7,True
620,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,FA71445 - 9 Beechnut - 01-08-2020 Final.pdf,2-0020923,receptor,,sgs,,8,True
621,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,FA71445 - 9 Beechnut - 01-08-2020 Final.pdf,2-0020923,receptor,,sgs,,9,True
622,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,FA71444 - 308 Chestnut - 01-08-2020 Final.pdf,2-0020923,receptor,,sgs,,7,True
623,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,FA71444 - 308 Chestnut - 01-08-2020 Final.pdf,2-0020923,receptor,,sgs,,8,True
624,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,FA71444 - 308 Chestnut - 01-08-2020 Final.pdf,2-0020923,receptor,,sgs,,9,True
625,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,FA71443 - 264 Chestnut - 01-08-2020 Final.pdf,2-0020923,receptor,,sgs,,7,True
626,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,FA71443 - 264 Chestnut - 01-08-2020 Final.pdf,2-0020923,receptor,,sgs,,8,True
627,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,FA71443 - 264 Chestnut - 01-08-2020 Final.pdf,2-0020923,receptor,,sgs,,9,True
628,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,FA71442 - 305 Chestnut - 01-08-2020 Final.pdf,2-0020923,receptor,,sgs,,7,True
629,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,FA71442 - 305 Chestnut - 01-08-2020 Final.pdf,2-0020923,receptor,,sgs,,8,True
630,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,FA71442 - 305 Chestnut - 01-08-2020 Final.pdf,2-0020923,receptor,,sgs,,9,True
631,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,FA71441 - 307 Chestnut - 01-08-2020 Final.pdf,2-0020923,receptor,,sgs,,7,True
632,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,FA71441 - 307 Chestnut - 01-08-2020 Final.pdf,2-0020923,receptor,,sgs,,8,True
633,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,FA71441 - 307 Chestnut - 01-08-2020 Final.pdf,2-0020923,receptor,,sgs,,9,True
634,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,FA71440 - 341 Chestnut - 01-08-2020 Final.pdf,2-0020923,receptor,,sgs,,7,True
636,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,FA71440 - 341 Chestnut - 01-08-2020 Final.pdf,2-0020923,receptor,,sgs,,9,True
637,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,FA71440 - 341 Chestnut - 01-08-2020 Final.pdf,2-0020923,receptor,,sgs,,10,True
